coder_id,coder,jobset,unit_id,unit_status,variable,value,time_question,time_answer,field
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,survey,DONE,leeftijd.jaar,52,2024-10-19T17:30:45.380Z,2024-10-19T17:30:48.095Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,survey,DONE,opleiding,VMBO,2024-10-19T17:30:48.860Z,2024-10-19T17:30:51.476Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,survey,DONE,politiek_int,Wel geinteresseerd,2024-10-19T17:30:51.730Z,2024-10-19T17:30:57.897Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,survey,DONE,politiek_pos,6. rechts,2024-10-19T17:30:59.514Z,2024-10-19T17:31:05.981Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,training_intro,DONE,continue,confirmed,2024-10-19T17:31:07.607Z,2024-10-19T17:31:20.456Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,training1,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:31:21.491Z,2024-10-19T17:31:40.441Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,training2,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:31:42.459Z,2024-10-19T17:32:00.787Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2841,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:32:02.100Z,2024-10-19T17:32:06.958Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2842,DONE,fact_opinion,2. Overwegend een mening,2024-10-19T17:32:09.162Z,2024-10-19T17:32:13.760Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2843,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:32:15.541Z,2024-10-19T17:32:20.332Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2844,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:32:22.014Z,2024-10-19T17:32:28.588Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2845,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:32:30.382Z,2024-10-19T17:32:35.758Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2846,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:32:40.543Z,2024-10-19T17:32:48.344Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2847,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:32:50.250Z,2024-10-19T17:32:56.378Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2848,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:32:58.348Z,2024-10-19T17:33:04.015Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2849,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:33:05.719Z,2024-10-19T17:33:13.452Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2850,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:33:15.427Z,2024-10-19T17:33:20.728Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2851,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:33:22.626Z,2024-10-19T17:33:30.788Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2852,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:33:32.521Z,2024-10-19T17:33:39.411Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2853,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:33:41.251Z,2024-10-19T17:33:45.794Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2854,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:33:47.572Z,2024-10-19T17:33:51.515Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2855,DONE,fact_opinion,2. Overwegend een mening,2024-10-19T17:33:53.139Z,2024-10-19T17:33:58.222Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2856,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:34:00.184Z,2024-10-19T17:34:07.635Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2857,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:34:09.401Z,2024-10-19T17:34:14.220Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2858,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:34:16.879Z,2024-10-19T17:34:19.850Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2859,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:34:21.381Z,2024-10-19T17:34:28.978Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2860,DONE,fact_opinion,2. Overwegend een mening,2024-10-19T17:34:30.596Z,2024-10-19T17:34:35.651Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,intro,DONE,intro,confirmed,2024-10-19T17:34:36.689Z,2024-10-19T17:34:38.455Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2861,DONE,fact_opinion,2. Overwegend een mening,2024-10-19T17:34:37.371Z,2024-10-19T17:34:39.859Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,survey,DONE,geslacht,Vrouw,2024-10-19T17:34:39.721Z,2024-10-19T17:34:41.081Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,survey,DONE,leeftijd.jaar,55,2024-10-19T17:34:41.630Z,2024-10-19T17:34:47.530Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,survey,DONE,opleiding,Bachelor HBO/WO,2024-10-19T17:34:48.303Z,2024-10-19T17:34:50.441Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,survey,DONE,politiek_int,Wel geinteresseerd,2024-10-19T17:35:14.243Z,2024-10-19T17:35:17.948Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,survey,DONE,politiek_pos,2. links,2024-10-19T17:35:19.514Z,2024-10-19T17:35:25.497Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2862,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:34:41.453Z,2024-10-19T17:34:44.090Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2863,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:34:45.652Z,2024-10-19T17:34:47.671Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2864,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:34:49.345Z,2024-10-19T17:34:53.360Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2865,DONE,fact_opinion,2. Overwegend een mening,2024-10-19T17:34:55.991Z,2024-10-19T17:35:03.854Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2866,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:35:05.630Z,2024-10-19T17:35:13.619Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2867,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:35:15.546Z,2024-10-19T17:35:21.339Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2868,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:35:23.108Z,2024-10-19T17:35:30.672Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,training_intro,DONE,continue,confirmed,2024-10-19T17:35:27.859Z,2024-10-19T17:35:58.380Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2869,DONE,fact_opinion,2. Overwegend een mening,2024-10-19T17:35:32.473Z,2024-10-19T17:35:39.432Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2870,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:35:41.160Z,2024-10-19T17:35:51.944Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2871,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:35:53.567Z,2024-10-19T17:35:55.784Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2872,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:35:57.140Z,2024-10-19T17:35:59.428Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,training1,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:35:59.817Z,2024-10-19T17:36:13.792Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2873,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:36:01.026Z,2024-10-19T17:36:06.252Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2874,DONE,fact_opinion,2. Overwegend een mening,2024-10-19T17:36:08.086Z,2024-10-19T17:36:18.724Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,training2,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:36:15.102Z,2024-10-19T17:36:23.425Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2875,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:36:20.391Z,2024-10-19T17:36:25.722Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2881,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:36:25.620Z,2024-10-19T17:36:31.266Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2876,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:36:27.551Z,2024-10-19T17:36:30.560Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2877,DONE,fact_opinion,3. Gedeeltelijk een mening,2024-10-19T17:36:32.163Z,2024-10-19T17:36:47.786Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2882,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:36:32.993Z,2024-10-19T17:36:35.924Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2883,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:36:37.811Z,2024-10-19T17:36:40.384Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2884,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:36:42.216Z,2024-10-19T17:36:45.397Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2885,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:36:46.922Z,2024-10-19T17:36:51.399Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2878,DONE,fact_opinion,4. Gedeeltelijk feitelijk,2024-10-19T17:36:49.471Z,2024-10-19T17:37:06.220Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2886,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:36:54.499Z,2024-10-19T17:36:57.376Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2887,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:36:59.105Z,2024-10-19T17:37:02.752Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2888,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:37:04.535Z,2024-10-19T17:37:07.711Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2879,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:37:07.983Z,2024-10-19T17:37:11.603Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2889,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:37:09.657Z,2024-10-19T17:37:13.846Z,
17166,7lkguFRx_T-53d7FxHRw-g**,set_72,s2880,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:37:13.099Z,2024-10-19T17:37:17.142Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2890,DONE,fact_opinion,2. Overwegend een mening,2024-10-19T17:37:15.725Z,2024-10-19T17:37:18.528Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2891,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:37:20.816Z,2024-10-19T17:37:23.900Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2892,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:37:25.936Z,2024-10-19T17:37:31.174Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2893,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:37:33.103Z,2024-10-19T17:37:38.626Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2894,DONE,fact_opinion,1. Absoluut een mening,2024-10-19T17:37:40.474Z,2024-10-19T17:37:42.588Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2895,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:37:44.158Z,2024-10-19T17:37:46.029Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2896,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-19T17:37:50.527Z,2024-10-19T17:38:01.142Z,
17167,7lkguFRx_T8baW-VlukaXA**,set_73,s2897,DONE,fact_opinion,6. Absoluut feitelijk,2024-10-19T17:38:02.802Z,2024-10-19T17:38:05.935Z,
